starttimes,endtimes
2017-06-11T12:41:10Z,2017-06-11T12:42:10Z
2017-06-11T15:51:40Z,2017-06-11T15:53:00Z
2017-06-11T21:27:30Z,2017-06-11T21:28:50Z
2017-06-12T01:28:10Z,2017-06-12T01:29:30Z
2017-06-12T03:41:50Z,2017-06-12T03:43:00Z
2017-06-12T10:23:10Z,2017-06-12T10:24:30Z
2017-06-12T10:40:30Z,2017-06-12T10:41:50Z
2017-06-12T13:34:30Z,2017-06-12T13:35:20Z
2017-06-12T14:16:10Z,2017-06-12T14:17:00Z
2017-06-12T14:16:30Z,2017-06-12T14:17:20Z
2017-06-13T03:04:00Z,2017-06-13T03:05:20Z
2017-06-13T03:57:20Z,2017-06-13T03:58:10Z
2017-06-13T04:08:50Z,2017-06-13T04:10:10Z
2017-06-13T15:40:10Z,2017-06-13T15:41:10Z
2017-06-13T18:37:22Z,2017-06-13T18:39:41Z
2017-06-13T18:38:00Z,2017-06-13T18:39:00Z
2017-06-13T18:38:40Z,2017-06-13T18:39:40Z
2017-06-13T19:10:00Z,2017-06-13T19:11:30Z
2017-06-13T19:14:00Z,2017-06-13T19:14:50Z
2017-06-13T20:11:20Z,2017-06-13T20:12:50Z
2017-06-13T20:30:40Z,2017-06-13T20:31:30Z
2017-06-13T20:36:30Z,2017-06-13T20:37:50Z
2017-06-13T20:40:20Z,2017-06-13T20:41:50Z
2017-06-13T20:44:20Z,2017-06-13T20:45:40Z
2017-06-13T20:48:20Z,2017-06-13T20:49:40Z
2017-06-13T22:40:50Z,2017-06-13T22:41:40Z
2017-06-14T01:25:40Z,2017-06-14T01:27:00Z
2017-06-14T10:09:40Z,2017-06-14T10:11:00Z
2017-06-14T11:56:30Z,2017-06-14T11:57:40Z
2017-06-14T12:13:00Z,2017-06-14T12:13:50Z
2017-06-14T12:35:30Z,2017-06-14T12:36:50Z
2017-06-14T13:04:30Z,2017-06-14T13:05:30Z
2017-06-14T13:14:40Z,2017-06-14T13:15:30Z
2017-06-14T13:20:20Z,2017-06-14T13:21:30Z
2017-06-14T13:23:20Z,2017-06-14T13:24:30Z
2017-06-14T13:34:30Z,2017-06-14T13:35:50Z
2017-06-14T15:10:50Z,2017-06-14T15:12:00Z
2017-06-14T16:00:50Z,2017-06-14T16:02:20Z
2017-06-14T18:38:40Z,2017-06-14T18:39:40Z
2017-06-14T18:45:10Z,2017-06-14T18:46:00Z
2017-06-14T18:47:10Z,2017-06-14T18:48:10Z
2017-06-14T18:47:50Z,2017-06-14T18:49:10Z
2017-06-14T18:49:50Z,2017-06-14T18:50:40Z
2017-06-14T18:50:20Z,2017-06-14T18:51:40Z
2017-06-14T18:52:40Z,2017-06-14T18:53:30Z
2017-06-14T19:05:20Z,2017-06-14T19:06:20Z
2017-06-14T19:05:50Z,2017-06-14T19:06:40Z
2017-06-14T19:10:30Z,2017-06-14T19:11:40Z
2017-06-14T19:13:00Z,2017-06-14T19:14:20Z
2017-06-14T19:23:40Z,2017-06-14T19:24:50Z
2017-06-14T19:24:30Z,2017-06-14T19:26:10Z
